Scopus_ID,abstract,author,pubDate,title
SCOPUS_ID:85035128299,"This study develops a stochastic approach to the short-term forecasting of hotel booking arrivals. We investigate the key characteristics of booking arrivals, specifically the time-varying arrivals rates, high variability in the final demand, and the strong positive correlations between arrivals in different time periods. We examine three Poisson mixture models to capture these salient features of booking arrivals. In particular, the presence of strong inter-temporal correlations can be leveraged for forecasting future arrivals based on the early realizations. We suggest a new forecasting method that exploits the intrinsic correlations between early and late bookings and then present validation results of data from a major hotel chain along with a comparison to benchmark models. Our empirical study confirms that our dynamic updating method leveraging inter-temporal correlations can significantly improve the short-term forecasting accuracy of hotel room demand.",Lee M.,2018-06-01,Modeling and forecasting hotel room demand based on advance booking information
SCOPUS_ID:85038847134,(not available),Sevlian R.,2018-06-01,A scaling law for short term load forecasting on varying levels of aggregation
SCOPUS_ID:85036467319,"Cloud computing has drastically transformed the means of computing in recent years. In spite of numerous benefits, it suffers from some challenges too. Major challenges of cloud computing include dynamic resource scaling and power consumption. These factors lead a cloud system to become inefficient and costly. The workload prediction is one of the variables by which the efficiency and operational cost of a cloud can be improved. Accuracy is the key component in workload prediction and the existing approaches lag in producing 100% accurate results. The researchers are also putting their consistent efforts for its improvement. In this paper, we present a workload prediction model using neural network and self adaptive differential evolution algorithm. The model is capable of learning the best suitable mutation strategy along with optimal crossover rate. The experiments were performed on the benchmark data sets of NASA and Saskatchewan servers’ HTTP traces for different prediction intervals. We compared the results with prediction model based on well known back propagation learning algorithm and received significant improvement. The proposed model attained a shift up to 168 times in the error reduction and prediction error is reduced up to 0.001.",Kumar J.,2018-04-01,Workload prediction in cloud using artificial neural network and adaptive differential evolution
SCOPUS_ID:85038816447,"Online reviews have been extensively studied in the hospitality and tourism literature. However, while user-provided photos embedded in online reviews accumulate in large quantities, their informational value has not been well understood likely due to technical challenges. The goal of this study is to introduce deep learning for computer vision to understand information value of online hotel reviews. Using a dataset collected from two social media sites, we compared deep learning models with other machine learning techniques to examine the effect of user-provided photos on review helpfulness. Findings show that deep learning models were more useful in predicting review helpfulness than other models. While user-provided photos alone did not have the same impact as review texts, combining review texts and user-provided photos produced the highest performance. Implications for the applications of deep learning technologies in hospitality and tourism research, as well as limitations and directions for future research, are discussed.",Ma Y.,2018-04-01,Effects of user-provided photos on hotel review helpfulness: An analytical approach with deep leaning
SCOPUS_ID:85034053217,"In this paper a new hybrid method combining variational mode decomposition (VMD) and single or Multi-kernel regularized pseudo inverse neural network (MKRPINN) is presented for effective and efficient wind power forecasting. The original non-linear and non-stationary time series data is decomposed using VMD approach to prevent the mutual effects among the different modes. The proposed VMD-KRPINN (VMD based kernel regularized pseudo inverse neural network) and VMD-MKRPINN methods are then used to predict wind power generation of a wind farm in the state of Wyoming, USA for different time intervals of 10 min, 30 min, 1 h and 3 h ahead. Comparison with empirical mode decomposition (EMD) based kernel regularized pseudo inverse neural networks is also presented in the paper to validate the superiority of the VMD based wind power prediction models. Also to improve the performance of the proposed EMD-MKPRINN and VMD-MKRPINN models, their parameters are optimized using vaporization and precipitation based water cycle algorithm (VAPWCA). Further a fast reduced version of the VMD-KRPINN is presented in the paper to reduce the execution time substantially using randomly selected support vectors from the data set while resulting in a reasonably accurate forecast.",Naik J.,2018-04-01,Short term wind power forecasting using hybrid variational mode decomposition and multi-kernel regularized pseudo inverse neural network
SCOPUS_ID:85036466647,"This study firstly proposed the use of 3D MRI images to analyze loins in a non-destructive way. For that, interpolation and reconstruction techniques are applied on 2D MRI images of loins and the computational texture algorithms were adapted to analyze the obtained 3D images. The influence of the i) MRI acquisition sequences (Spin Echo (SE), Gradient Echo (GE), Turbo 3D (T3D)), ii) 3D texture features algorithms (GLCM, NGLDM, GLRLM, GLCM + NGLDM + GLRLM), and iii) regression techniques (Multiple Linear Regression (MLR), Isotonic Regression (IR)) was also evaluated. Combinations of SE or GE with any texture algorithm and any regression technique gave accurate results, with correlation coefficients higher than 0.75 and mean absolute error lower than 2. However, considering not only the accuracy of the methodology but also the computational cost, the use of GE, GLCM and IR could be proposed to determine physico-chemical parameters of loins non-destructively.",Avila M.,2018-04-01,Applying 3D texture algorithms on MRI to evaluate quality traits of loin
SCOPUS_ID:85034648827,"Optimal PV based EV charging is performed either by predicting or by measuring PV output. However, due to the uncertainties associated with the variables involved, both the charging methods are not only disposed to significant voltage limit violations but also may cause PV energy harvest reduction. Hence, a methodology is proposed in this paper, which utilizes the measured PV output of a given sample and the supplied historical ramp to predict the PV output of the immediate next sample using a non-iterative method. The charging rates of the EV population are, subsequently, adjusted in the interval between the successive samples based on the predicted PV output with the help of a proposed SOC based charging strategy. The proposed methodology has been tested at the University of Queensland (UQ)’s solar and parking facilities coupled with its electric grid. The results show that aside from reducing the probability of voltage limit violations (PVV), the proposed methodology can increase the PV energy harvest. Moreover, it is cost-effective as compared to the conventional method such as onsite battery energy storage deployment.",Islam M.S.,2018-04-01,PV based EV charging at universities using supplied historical PV output ramp
SCOPUS_ID:85032699626,"The integration of storage systems into smart grids is being widely analysed in order to increase the flexibility of the power system and its ability to accommodate a higher share of wind and solar power. The success of this process requires a comprehensive techno-economic study of the storage technology in contrast with electricity market behaviour. The focus of this work is on lead-acid and vanadium redox flow batteries. This paper presents a novel probabilistic optimization model for managing energy storage systems. The model is able to incorporate the forecasting error of electricity prices, offering with this a near-optimal control option. Using real data from the Spanish electricity market from the year 2016, the probability distribution of forecasting error is determined. The model determines electricity price uncertainty by means of Monte Carlo Simulation and includes it in the energy arbitrage problem, which is eventually solved by using an integer-coded genetic algorithm. In this way, the probability distribution of the revenue is determined with consideration of the complex behaviours of lead-acid and vanadium redox flow batteries as well as their associated operating devices such as power converters.",Lujano-Rojas J.M.,2018-04-01,Novel probabilistic optimization model for lead-acid and vanadium redox flow batteries under real-time pricing programs
SCOPUS_ID:85038823053,"The constant growth of the energy crisis within the ICT Sector has persistently gained importance thereby prompting endeavors to curb growing energy demands and associated expenditures. This paper attempts to propose an intelligent energy aware task allocation and resource provisioning technique running in GreenSched model. The GreenSched model tends to exploit the heterogeneity of tasks and multi-core capacity of the varied nodes in the cloud environment and attempts to proactively schedule the deadline-and budget- constrained tasks on identified less energy consuming or energy aware nodes. It implements a Forward-only Counter Propagation Network (CPN) based intelligent scheduler unit that runs a scheduling technique to identify the best nodes for the task allocation process, one with least energy consumption and deadline- and budget -fulfilling capability. The nodes are clustered and classified by comparing their energy consumption values. The proposed algorithm has been implemented using the CloudSim toolkit and Kohonen and CP-ANN Toolbox with the help of MatlabTM platform. The experimental results exhibit that the proposed technique offers reduced energy consumption along with an overall improvement in the performance by meeting the deadline-and-budget constraints imposed by the users.",Kaur T.,2018-03-01,GreenSched: An intelligent energy aware scheduling for deadline-and-budget constrained cloud tasks
SCOPUS_ID:85037706900,"Chemicals in consumer products have become the focus of recent regulatory developments including California's Safer Consumer Products Act. However, quantifying the amount of chemicals released during the use and post-use phases of consumer products is challenging, limiting the ability to understand their impacts. Here we present a comprehensive framework, OrganoRelease, for estimating the release of organic chemicals from the use and post-use of consumer products given limited information. First, a novel Chemical Functional Use Classifier estimates functional uses based on chemical structure. Second, the quantity of chemicals entering different product streams is estimated based on market share data of the chemical functional uses. Third, chemical releases are estimated based on either chemical product categories or functional uses by using the Specific Environmental Release Categories and EU Technological Guidance Documents. OrganoRelease connects 19 unique functional uses and 14 product categories across 4 data sources and provides multiple pathways for chemical release estimation. Available user information can be incorporated in the framework at various stages. The Chemical Functional Use Classifier achieved an average accuracy above 84% for nine functional uses, which enables the OrganoRelease to provide release estimates for the chemical, mostly using only the molecular structure. The results can be can be used as input for methods estimating environmental fate and exposure.",Tao M.,2018-03-01,OrganoRelease – A framework for modeling the release of organic chemicals from the use and post-use of consumer products
